Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
26-Jan-2017,Skårby Station 560,"Kareby,Kungälvskommun",115+118,7,1269,3500000
26-Jan-2017,Konvaljgatan 13,"Tornhaga,Kungälvskommun",115,5,701,3750000
25-Jan-2017,Broberg 130,"Lycke,Kungälvskommun",120,5,2400,4465000
22-Jan-2017,Strömgatan 10,"Ytterby,Kungälvskommun",100,4,1071,3610000
21-Jan-2017,Hövdingagatan 5,"Kungälv-Centralt,Kungälvskommun",170+34,6,641,4740000
17-Jan-2017,Briljantvägen 11,"Kode,Kungälvskommun",153,5,555,3800000
12-Jan-2017,Hallsbergsvägen 6,"Kode,Kungälvskommun",139+10,5,3353,3550000
4-Jan-2017,Hallbjörtorp 290,"Kärna,Kungälvskommun",75+75,5,1312,3300000
16-Dec-2016,Skvaltvägen 3,"RomelandaDiseröd,Kungälvskommun",180+145,8,1352,3700000
9-Dec-2016,Västerhöjdsvägen 8,"Kärna,Kungälvskommun","81,6+43,2",2,473,3200000
5-Dec-2016,Norra Arödsvägen 40,"Aröd,Kungälvskommun",55,3,1584,2620000
2-Dec-2016,Östergårdsgatan 12,"Kungälv-Ytterby,Kungälvskommun",180+55,5,1137,5460000
29-Nov-2016,Åseby 400,"Kungälv-Rörtången,Kungälvskommun",154+5,5,2523,4550000
28-Nov-2016,Täljstensgatan 2,"Ytterby,Kungälvskommun",70,3,551,3000000
22-Nov-2016,Västra Gatan 35a,"Kungälv-Centrum,Kungälvskommun",214+44,8,344,6450000
18-Nov-2016,Parken 110,"Kodelantligt,Kungälvskommun",157,7,4160,4510000
17-Nov-2016,Diserödsvägen 15,"RomelandaDiseröd,Kungälvskommun",114+105,7,719,3825000
12-Nov-2016,Gunneröd 460,"LYCKE,Kungälvskommun",87+45,3,1067,2725000
11-Nov-2016,Storskiftegatan 100,"Ytterby,Kungälvskommun",135,6,782,4215000
4-Nov-2016,Rökgatan 9,"Centrum,Kungälvskommun",71+59,5,737,2950000
2-Nov-2016,Diamantvägen 52,"Kode,Kungälvskommun",156,6,557,4200000
1-Nov-2016,Väderhattsgatan 3,"Iskällan,Kungälvskommun",180+81,8,1069,6030000
27-Oct-2016,Skårpedal 160,"Lycke,Kungälvskommun",122+70,5,1643,3530000
27-Oct-2016,Kaprifolvägen 6,"Kärna,Kungälvskommun",128,5,524,3330000
26-Oct-2016,Vävra 495,"Vävra-Tjuvkil-Kungälv,Kungälvskommun",34+55,2,3273,950000
20-Oct-2016,Oxelvägen 40,"Romelanda,Kungälvskommun",109+45,5,300,3460000
18-Oct-2016,Ulvebackegatan 6,"Bohuslän,Kungälvskommun",135+28,5,1135,4400000
17-Oct-2016,Häljeröd 190,"Romelanda,Kungälvskommun",84+79,5,4000,3400000
17-Oct-2016,Kornhall 210,"Harestad,Kungälvskommun",80,4,570,2200000
14-Oct-2016,Tröskvägen 270,"Ullstorp,Kungälvskommun",140,5,557,5700000
13-Oct-2016,Glöskär 300,"Kärna,Kungälvskommun",60,3,1988,1400000
13-Oct-2016,Västerängen 17,"Ytterby,Kungälvskommun",143+37,6,825,4550000
12-Oct-2016,Solhultsgatan 20,"Centrum,Kungälvskommun",112+46,4,558,3830000
10-Oct-2016,Prästbol 165,"Aröd,Kungälvskommun",171,6,2805,5400000
8-Oct-2016,Toftåsen 10,"Sundhammar,Kungälvskommun",70,3,1961,2490000
19-Jan-2020,Sundviksvägen 36,"Tjuvkil/lycke,Kungälvskommun",117,5,533,5495000
18-Jan-2020,Kungälvsvägen 51,"Grinden,Kungälvskommun",89,4,215,4100000
17-Jan-2020,Norrmannebo 540,"Norrmannebo,Kungälvskommun",115+55,5,4495,3420000
17-Jan-2020,Hallebäcksvägen 18,"Timmervik,Kungälvskommun",62,3,1336,2215000
17-Jan-2020,Gråstensvägen 11,"Kode,Kungälvskommun",125+80,8,1628,3150000
15-Jan-2020,Guntorpsvägen 24,"Kode,Kungälvskommun",110+152,6,1065,5000000
10-Jan-2020,Västerängen 5,"Ytterby,Kungälvskommun",106+44,6,1046,5175000
10-Jan-2020,Munkegärdegatan 339,"Kungälv,Kungälvskommun",117,5,659,5100000
9-Jan-2020,Holm 230,"Kovikshamn,Kungälvskommun",155+7,7,2861,5875000
3-Jan-2020,Opalvägen 10,"Kode,Kungälvskommun",130+50,5,712,2900000
27-Dec-2019,Ön 170,"Kareby,Kungälvskommun",120+84,5,3272,3500000
27-Dec-2019,Bräcke 106,"Kärna,Kungälvskommun",127,4,2070,4600000
22-Dec-2019,Solrosvägen 7,"Kärna,Kungälvskommun",138+90,5,592,4375000
20-Dec-2019,Broberg 190,"Tjuvkil/Lycke,Kungälvskommun",67,4,1755,1850000
20-Dec-2019,Prejelvägen 120,"Kungälv,Kungälvskommun",122,NaN,314,5100000
20-Dec-2019,Matskärsvägen 2,"Kungälv-Tjuvkil,Kungälvskommun",130,4,594,4650000
20-Dec-2019,Dannemarksgatan 42,"Ytterby,Kungälvskommun",148,6,641,5400000
15-Dec-2019,Spaghamnsvägen 15,"Tjuvkil/Lycke,Kungälvskommun",114,3,1407,6500000
12-Dec-2019,Lilla Fjellsholmen 6,"LillaFjellsholmen,Kungälvskommun",86,4,400,6900000
11-Dec-2019,Ulvesund 438,"Ytterby,Kungälvskommun",90,5,760,4500000
9-Dec-2019,Hallbjörtorp 200,"Hallbjörtorp,Kungälvskommun",90,3,1458,1000000
6-Dec-2019,Bergåsvägen 6B,"Ytterby,Kungälvskommun",141+29,5,1021,5400000
3-Dec-2019,Settungsvägen 44,"Ullstorp,Kungälvskommun",120+25,5,583,5100000
30-Nov-2019,Skurhagagatan 4,"Kungälv-Centrum,Kungälvskommun",190+75,7,798,5300000
28-Nov-2019,Rörmossevägen 130,"Bohuslän,Kungälvskommun",145+113,5,1200,4480000
28-Nov-2019,Törnrosgatan 10,"Ytterby,Kungälvskommun",136+76,7,1030,5375000
27-Nov-2019,Vävra 542,"Hålta,Kungälvskommun",109+15,6,1106,4550000
25-Nov-2019,Vallby 110,"Solberga-Kode,Kungälvskommun",127+14,5,12135,5100000
22-Nov-2019,Olsåker 200,"Kareby,Kungälvskommun",106+156,6,1673,3600000
22-Nov-2019,Enekullsvägen 6,"Ytterby,Kungälvskommun",170+94,8,1160,6900000
21-Nov-2019,Åsebyberg 655,"Åsebyberg,Kungälvskommun",35,2,2854,2080000
20-Nov-2019,Ljungvägen 40,"ÖdsmålsmossevidRörtången,Kungälvskommun",65,3,1016,2295000
20-Nov-2019,Bergkristallvägen 18,"Kode,Kungälvskommun",127,6,608,4450000
20-Nov-2019,Solberga 870,"Kode,Kungälvskommun",104+38,3,1272,3420000
16-Nov-2019,Kuskalundsvägen 35,"Vävra,Kungälvskommun",63,3,2104,2450000
16-Nov-2019,Trankärr 170,"Trankärr,Kungälvskommun",86+60,3,1002,3880000
13-Nov-2019,Granndalen 13,"Kärna,Kungälvskommun",81+10,4,1093,2100000
13-Nov-2019,Solbräcke / Ullstorp,"Kungälv,Kungälvskommun",148,6,784,4950000
13-Nov-2019,Grindklykan 9,"Kungälv,Kungälvskommun",121,4,729,3900000
6-Nov-2019,Täljstensgatan 4,"Ytterby,Kungälvskommun",70+12,3,478,3100000
6-Nov-2019,Duvesjön 357,"Romelanda,Kungälvskommun",169+60,9,1054,4625000
1-Nov-2019,,"Kungälv,Kungälvskommun",NaN,NaN,708,1251360
1-Nov-2019,Kulperödsvägen 39,"Gullbringa,Kungälvskommun",129,4,1192,2900000
1-Nov-2019,Topasvägen 13,"Kode,Kungälvskommun",130+95,6,782,4500000
30-Oct-2019,Råckeröd 180,"Kärna,Kungälvskommun",90,NaN,3183,1000000
30-Oct-2019,Enebacksvägen 10,"Kode,Kungälvskommun",69+36,4,1051,2720000
30-Oct-2019,Lerskärsvägen 11,"Tjuvkil,Kungälvskommun",63+75,3,1065,2830000
29-Oct-2019,Jägersberg 350,"Kode,Kungälvskommun",94+32,4,4120,3405000
29-Oct-2019,Lilla Fjellsholmen 16,"LillaFjellsholmen,Kungälvskommun",86,4,435,7500000
29-Oct-2019,Häradsvägen 92,"Ytterbycentralt,Kungälvskommun",130,5,386,3595000
20-May-2020,Krokens väg 22,"Tjuvkil(västradelen)+Kroken,Kungälvskommun",122+72,6,1320,5900000
19-May-2020,Bäckliden 10,"Kungälv,Kungälvskommun",169+79,7,500,7700000
18-May-2020,Tronnum 260,"Kärna,Kungälvskommun",106,3,1229,3500000
16-May-2020,Rishammarvägen 12,"Kungälv,Kungälvskommun",185+26,7,747,6000000
14-May-2020,Åkerhög 410,"Vedhall,Kungälvskommun",147,4,842,5000000
13-May-2020,Grandalen 110,"Duvesjön,Kungälvskommun",66,2,1121,2300000
13-May-2020,Kållen 140,"Romelanda,Kungälvskommun",96+25,4,2207,3200000
12-May-2020,Kärnavägen 1,"Kärna,Kungälvskommun",159+90,8,668,4300000
12-May-2020,Hamngatan 3,"Kungälvcentralt,Kungälvskommun",144+76,6,620,6100000
12-May-2020,Kvarnvägen 41,"Bohuslän,Kungälvskommun",111+45,5,1194,3650000
11-May-2020,Krokens väg 21,"Lycke,Kungälvskommun",157,6,968,5950000
10-May-2020,Åseby 120,"Kode/Solberga,Kungälvskommun",91+71,3,19952,3825000
6-May-2020,Byvägen 63,"Ödsmålsmosse,Kungälvskommun",104,5,1750,3750000
6-May-2020,Toftåsen 3,"Sundhammar,Kungälvskommun",137+36,6,1235,5975000
6-May-2020,Gullbringa 110,"Lökeberg,Kungälvskommun",180,6,2068,4300000
6-May-2020,Skäggstorp 180,"Kode,Kungälvskommun",52,2,1353,2450000
5-May-2020,Källeröd 166,"Kareby,Kungälvskommun",126,6,988,4295000
5-May-2020,Skårshöjd 8,"Kärna,Kungälvskommun",140+40,6,921,3700000
4-May-2020,Lievägen 245,"Ullstorp,Kungälvskommun",111,4,487,5150000
1-May-2020,Flädervägen 17,"Diseröd,Kungälvskommun",110,4,332,3600000
30-Apr-2020,Duvesjön 230,"Duvesjön,Kungälvskommun",119,4,1091,4450000
29-Apr-2020,Olserödsgatan 128,"Kungälv,Kungälvskommun",150+39,4,1388,4650000
29-Apr-2020,Instölid 33,"Instön,Kungälvskommun",55,3,841,3950000
28-Apr-2020,Tjällviksvägen 4,"Marstrand,Kungälvskommun",74,2,822,2650000
28-Apr-2020,Grokareby 130,"Kareby,Kungälvskommun",200+26,6,6284,3825000
28-Apr-2020,Häljeröd 280,"Romelanda,Kungälvskommun",199+24,7,3235,3700000
28-Apr-2020,Älggatan 6,"Olseröd,Kungälvskommun",111,4,NaN,3375000
27-Apr-2020,Hemmansgatan 2,"Ytterby,Kungälvskommun",179,8,1021,4800000
25-Apr-2020,Västra Röd 130,"Harestad,Kungälvskommun",136+15,5,1170,4200000
24-Apr-2020,Bergåsvägen 17,"Ytterby,Kungälvskommun",126+49,6,1054,4600000
24-Apr-2020,Åseby 170,"Åseby,Kungälvskommun",101,3,1945,3500000
23-Apr-2020,Aspvägen 7A,"Kungälv-Ytterby,Kungälvskommun",106+104,6,640,4725000
22-Apr-2020,Hammar 150,"Harestad,Kungälvskommun",95+65,4,1391,1895000
22-Apr-2020,Ingegatan 2E,"Komarken,Kungälvskommun",102+49,5,108,3600000
21-Apr-2020,Tvetgatan 289,"Tveten,Kungälvskommun",130+9,5,127,3700000
19-Apr-2020,Prästvägen 238,"Kareby,Kungälvskommun",177,7,1401,5400000
18-Apr-2020,Hammarberg 880,"Kode,Kungälvskommun",71,3,2037,2450000
17-Apr-2020,Källeröd 168,"Kareby,Kungälvskommun",126,6,1000,4395000
17-Apr-2020,Tjällviksvägen 14,"Instön,Kungälvskommun",138+4,4,3032,4150000
16-Apr-2020,Ingetorp 190,"Kode,Kungälvskommun",70+12,4,2160,2860000
7-Apr-2020,Bokvägen 8,"Centralt,Kungälvskommun",170+40,8,635,6650000
3-Apr-2020,Önneröd 145,"Bohuslän,Kungälvskommun",110,4,1030,4800000
3-Apr-2020,Skårby 774,"Bohuslän,Kungälvskommun",151,7,2155,5300000
2-Apr-2020,Lerskärsvägen 11,"Lycke,Kungälvskommun",63+19,NaN,1065,2750000
2-Apr-2020,Löstorp 120,"Kareby,Kungälvskommun",93+100,6,1313,3620000
2-Apr-2020,Flädervägen 48,"Diseröd,Kungälvskommun",182+10,7,823,5455000
2-Apr-2020,Lievägen 232,"Ullstorp,Kungälvskommun",134+5,5,257,5420000
1-Apr-2020,Lilla Fjellsholmen 33,"LillaFjellsholmen,Kungälvskommun",108+18,4,412,7900000
1-Apr-2020,Vitsten 210,"Kode,Kungälvskommun",50,3,1191,1200000
1-Apr-2020,Orrstigen 8,"Bohuslän,Kungälvskommun",128,NaN,361,4220000
9-Apr-2015,Kristinedalsgatan 15,"Centralt,Kungälvskommun",145+80,6,1191,4300000
31-Mar-2015,Sköldgatan 6,"Ytterby-Stället,Kungälvskommun",96+8,3,402,3020000
30-Mar-2015,Almvägen 19,"RomelandaTorp,Kungälvskommun",140,5,801,3110000
27-Mar-2015,Solvagnsgatan 10,"Stället,Kungälvskommun",139+12,5,405,4140000
26-Mar-2015,Stora Ryr 135,"Lycke,Kungälvskommun",194,8,1551,3750000
25-Mar-2015,Tröskvägen 272,"Ullstorp,Kungälvskommun",148+10,7,678,4870000
25-Mar-2015,Apelvägen 13,"Romelanda,Kungälvskommun",106+4,6,449,2850000
24-Mar-2015,Prästvägen 715,"Romelanda,Kungälvskommun",122+122,4,1025,3400000
24-Mar-2015,Kovikshamn 200,"Kungälv-Kovikshamn,Kungälvskommun",90+85,3,1361,3500000
24-Mar-2015,Kulperödsvägen 11B,"Kungälv-Hålta,Kungälvskommun",120+127,6,1007,5100000
23-Mar-2015,Hallebäcksvägen 2,"Kode,Kungälvskommun",73+7,4,1029,1500000
20-Mar-2015,Flateby 590,"Harestad,Kungälvskommun",114+65,3,3853,1995000
20-Mar-2015,Fågelstigen 36,"Kungälv,Kungälvskommun",113+5,4,177,2980000
19-Mar-2015,Skutviksvägen 6,"Marstrand-Instön,Kungälvskommun",90,3,1506,3350000
19-Mar-2015,Munkegärdegatan 320,"Munkegärde,Kungälvskommun",148+36,7,675,4400000
19-Mar-2015,Ödsmål 595,"Rörtången,Kungälvskommun",78,3,12760,5000000
18-Mar-2015,Norrmannebo 740 A,"Norrmannebo,Kungälvskommun",84+9,5,931,1350000
18-Mar-2015,Akvamarinvägen 9,"Kode,Kungälvskommun",107,5,745,2700000
14-Mar-2015,Vävra 760,"Hålta,Kungälvskommun",174,7,1792,5800000
11-Mar-2015,Norrmannebo 800,"Norrmannebo,Kungälvskommun",150+10,6,2964,2600000
6-Mar-2015,Onyxvägen 4,"Kode,Kungälvskommun",155,6,669,3600000
5-Mar-2015,Kulperödsvägen 17,"Bohuslän,Kungälvskommun",133+119,6,2141,4200000
5-Mar-2015,Rishammarvägen 33,"Kungälv,Kungälvskommun",112,4,1003,3430000
3-Mar-2015,Duvesjön 346,"Kungälv-Romelanda,Kungälvskommun",145+7,6,900,3250000
27-Feb-2015,Tvetgatan 49,"Bohuslän,Kungälvskommun",110,NaN,156,2100000
27-Feb-2015,Vitsippegatan 8,"Ytterby,Kungälvskommun",181,7,579,3595000
26-Feb-2015,Hemvägen 41,"Kungälv-Romelanda,Kungälvskommun",141,7,924,3610000
26-Feb-2015,Fregattgatan 5,"Centralt,Kungälvskommun",126+65,5,506,4300000
26-Feb-2015,Munkholmsgatan 7,"Kungälv,Kungälvskommun",95,4,796,2750000
26-Feb-2015,Lilla Ryr 200,"Kungälv-Lycke,Kungälvskommun",60+60,2,1406,2400000
21-Feb-2015,Stenåldersgatan 6,"YtterbyStället,Kungälvskommun",104,4,318,3200000
13-Feb-2015,Gullbringa 110,"Hålta,Kungälvskommun",180,5,2068,3495000
13-Feb-2015,Bärnstensvägen 1,"Kode,Kungälvskommun",177+170,7,1070,3050000
12-Feb-2015,Tvetgatan 123,"Kungälv,Kungälvskommun",109,5,300,2450000
12-Feb-2015,Mellan-Restad 270,"Hålta,Kungälvskommun",160+14,5,1233,3315000
11-Feb-2015,Alekärr 125,"Romelanda,Kungälvskommun",120,3,1950,3400000
10-Feb-2015,Hällristningsgatan 12,"KungälvYtterby,Kungälvskommun",107,5,560,3425000
3-Feb-2015,Tegskiftegatan 28,"Kungälv-Ytterby,Kungälvskommun",134+134,7,832,4700000
28-Jan-2015,Grandalen 190,"Kungälv-Svartedalen,Kungälvskommun",105+60,3,1378,1900000
21-Jan-2015,Stenhålt 352,"Kungälv-Romelanda,Kungälvskommun",151,6,1630,3810000
18-Jan-2015,Vävra 120,"Bohuslän,Kungälvskommun",121+25,7,3352,2600000
16-Jan-2015,Trankärrsliden 21,"Tveten&Skälebräcke,Kungälvskommun",110+75,5,1216,2950000
16-Jan-2015,Rubinvägen 19,"Kode,Kungälvskommun",195,6,937,3400000
14-Jan-2015,Åsebyberg 853,"Kode,Kungälvskommun",137,5,1462,3395000
13-Jan-2015,Lundby 475,"Kareby,Kungälvskommun",141+40,5,2024,4000000
11-Jan-2015,Bergkristallvägen 20,"Kode,Kungälvskommun",127,5,572,3760000
2-Jan-2015,Rosenstensvägen 43,"Bohuslän,Kungälvskommun",135,NaN,188,2600000
20-Dec-2014,Åsebyberg 685,"Kode,Kungälvskommun",115,3,1374,2995000
12-Dec-2014,Gårdskiftegatan 17,"Tega,Kungälvskommun",163+35,6,1147,4050000
4-Dec-2014,Tröskvägen 260,"Ullstorp,Kungälvskommun",140,6,410,4450000
21-Aug-2019,Olserödsgatan 16,"Olseröd,Kungälvskommun",118,5,238,3875000
20-Aug-2019,Lysegården 110,"Romelanda,Kungälvskommun",156+36,5,2899,3380000
19-Aug-2019,Vävra 433,"Hålta,Kungälvskommun",198,6,1729,5300000
16-Aug-2019,Munkholmsgatan 2,"Komarken,Kungälvskommun",137+73,7,893,5400000
16-Aug-2019,Staby 360,"Kungälv-Kärna,Kungälvskommun",119+75,5,1020,2900000
16-Aug-2019,Beryllvägen 2,"Kode,Kungälvskommun",128+5,6,908,4455000
16-Aug-2019,Grindvakten 27,"KungälvGrinden,Kungälvskommun",121,4,312,3750000
15-Aug-2019,Holm 440,"Kärna,Kungälvskommun",131+13,5,1408,4275000
14-Aug-2019,Tolleröd 280,"Kungälv,Kungälvskommun",73,3,1446,3330000
13-Aug-2019,Hasselvägen 5,"Romelanda,Kungälvskommun",115+166,NaN,972,1900000
13-Aug-2019,Vetegången 15,"Centralt,Kungälvskommun",124,4,403,4100000
12-Aug-2019,Staby 750,"Kärna,Kungälvskommun",117+151,7,2787,4325000
2-Aug-2019,Solvagnsgatan 2,"Ytterby,Kungälvskommun",164+12,5,484,5455000
1-Aug-2019,Aspvägen 8,"Ytterby,Kungälvskommun",130+90,5,602,4680000
1-Aug-2019,Rönnvägen 17,"Diseröd,Kungälvskommun",125+80,6,805,3500000
20-Jul-2019,Prästvägen 990,"Diseröd,Kungälvskommun",191+107,5,1941,5000000
18-Jul-2019,Kulleskärsvägen,"Tjuvkil,Kungälvskommun",142,6,410,4893000
16-Jul-2019,Lilla Fjellsholmen 61,"Vedhall,Kungälvskommun",86,4,405,6500000
12-Jul-2019,Sjöhåla 120,"Kovikshamn,Kungälvskommun",65,2,1662,1870000
11-Jul-2019,Bergliden 5,"Kode,Kungälvskommun",68+16,3,1945,2970000
9-Jul-2019,Snäckliden 2,"Sundhammar,Kungälvskommun",120+30,5,1085,4800000
5-Jul-2019,Kantorvägen 5,"Bohuslän,Kungälvskommun",125,5,574,3495000
5-Jul-2019,Vävra 470,"Hålta,Kungälvskommun",160+10,5,3244,2900000
5-Jul-2019,Valeberg 105,"Solberga-Kode,Kungälvskommun",98+55,4,2957,3350000
3-Jul-2019,Ranneberg 200,"Kärna,Kungälvskommun",66+63,4,3315,2250000
3-Jul-2019,Bergsvägen 15,"Ödsmålsmosse/Rörtången,Kungälvskommun",57,4,1784,1600000
2-Jul-2019,Vitsippegatan 12,"Ytterby,Kungälvskommun",179+21,6,535,4650000
1-Jul-2019,Hanekullen 205,"Kareby,Kungälvskommun",196,6,1885,4750000
28-Jun-2019,Dotorp 250,"Kärna,Kungälvskommun",126+32,5,1449,3825000
27-Jun-2019,Över-Restad 210,"Hålta,Kungälvskommun",107,5,2738,1700000
26-Jun-2019,Hövdingagatan 1,"Komarken,Kungälvskommun",163+160,6,1030,5200000
25-Jun-2019,Ängsgatan 17,"Centralt,Kungälvskommun",102+102,5,574,4620000
23-Jun-2019,Ranneberg 180,"Kärna,Kungälvskommun",95+55,5,1204,2810000
20-Jun-2019,Bastubäcksvägen 38,"Ödsmålsmosse/Rörtången,Kungälvskommun",63,3,767,2900000
20-Jun-2019,Enskiftegatan 14,"Ytterby,Kungälvskommun",170+73,7,924,5575000
20-Jun-2019,Häljeröd 420,"Romelanda,Kungälvskommun",146+62,5,1172,3800000
20-Jun-2019,Strömgatan 3,"Ytterby,Kungälvskommun",94+47,5,955,4750000
19-Jun-2019,Grindslanten 14,"Grinden,Kungälvskommun","112,7+15",5,NaN,3000000
19-Jun-2019,Skogen 148,"Kareby,Kungälvskommun",145,6,2156,5100000
15-Jun-2019,Norrmannebo 200,"Romelanda,Kungälvskommun",127+71,6,3500,3200000
14-Jun-2019,Vråstigen 2,"Bohuslän,Kungälvskommun",95+35,6,1661,3300000
14-Jun-2019,Skårby 590,"Kareby,Kungälvskommun",65+10,2,1132,2350000
13-Jun-2019,Blåsippegatan 14,"Ytterby,Kungälvskommun",201,6,833,4000000
12-Jun-2019,Granndalen 19,"Lycke,Kungälvskommun",49,4,1421,1700000
11-Jun-2019,Länsmansvägen 28,"Ytterby,Kungälvskommun",127+51,6,862,4707000
10-Jun-2019,Nordön 180,"Tjuvkil,Kungälvskommun",80+80,5,1587,4850000
7-Jun-2019,Barlinds väg  7,"Marstrand,Kungälvskommun",90,5,1527,4490000
7-Jun-2019,Skårby 985,"Bohuslän,Kungälvskommun","165,6",5,1655,4750000
5-Jun-2019,Brunskär 510,"Kärna,Kungälvskommun",90+15,4,365,4250000
4-Jun-2019,Kastellegårdsvägen 220,"Kastellegården,Kungälvskommun",NaN,4,1450,4050000
8-Sep-2020,Stora Ryr 110,"Lycke,Kungälvskommun",116+76,7,1434,3795000
8-Sep-2020,Kungälvsvägen 64,"Centralt,Kungälvskommun",137+58,5,853,5350000
5-Sep-2020,Bremnäs 190,"Lycke,Kungälvskommun",120+91,NaN,1559,2700000
5-Sep-2020,Prejelvägen 117,"Ullstorp,Kungälvskommun",122+15,5,596,5560000
4-Sep-2020,Lievägen 234,"Kungälv,Kungälvskommun",106,4,319,4850000
3-Sep-2020,Situlagatan 4,"Stället,Kungälvskommun",138,5,636,6040000
3-Sep-2020,Djupuddsvägen 2,"Marstrand-Instön,Kungälvskommun",135,5,1268,5100000
3-Sep-2020,Hallbjörtorp 410,"Kärna,Kungälvskommun",172,6,1884,5050000
1-Sep-2020,Tvetgatan 223,"Tveten,Kungälvskommun",130,5,138,3375000
30-Aug-2020,Grönviksvägen 22,"Kärna/Sundhammar,Kungälvskommun",130+70,4,1741,6800000
28-Aug-2020,Kungälvsvägen 37,"Grinden,Kungälvskommun",89,4,227,3981000
27-Aug-2020,Marielundsvägen 11,"Koön,Kungälvskommun",166,6,1074,6145000
27-Aug-2020,Harkvägen 347,"Ullstorp,Kungälvskommun",126,4,NaN,4500000
23-Aug-2020,Romelandavägen 110,"Centralt,Kungälvskommun",125+37,4,701,3700000
21-Aug-2020,Kareby kyrkväg 258,"Kareby,Kungälvskommun",106,4,617,3300000
21-Aug-2020,Gråstensvägen 14,"Kode,Kungälvskommun",94+96,5,1424,3550000
21-Aug-2020,Klövergången 7,"Centralt,Kungälvskommun",125,4,401,4300000
20-Aug-2020,Stora Risby 540,"Bohuslän,Kungälvskommun",47,3,902,2725000
20-Aug-2020,Rävo 120,"Hålta,Kungälvskommun",96+64,5,1819,2300000
17-Aug-2020,Rådmansgatan 21,"Kungälv-Centrum,Kungälvskommun",120+74,5,964,6530000
13-Aug-2020,Ametistvägen 12,"Kode,Kungälvskommun",107,5,918,4250000
13-Aug-2020,Lingonvägen 11,"Centralt,Kungälvskommun",123+24,4,742,5700000
12-Aug-2020,Munkegärdegatan 313,"Munkegärde,Kungälvskommun",135+20,5,309,4800000
12-Aug-2020,Norrmannebo 440,"Romelanda,Kungälvskommun",81+79,5,2036,3550000
12-Aug-2020,Rostock 170,"Romelanda,Kungälvskommun",84+88,4,1544,3500000
10-Aug-2020,Hallbjörtorp 350,"Kärna,Kungälvskommun",130+40,7,80081,5100000
10-Aug-2020,Harkvägen 337,"Ullstorp,Kungälvskommun",131,5,NaN,5410000
5-Aug-2020,Mjölnarvägen 3,"Diseröd,Kungälvskommun",137,5,534,3830000
4-Aug-2020,Bredsten 300,"Bredsten,Kungälvskommun",119,NaN,1889,4100000
4-Aug-2020,Stinneröd 130,"Romelanda,Kungälvskommun",187,6,1468,4150000
3-Aug-2020,Spaghamnsvägen 10,"TjuvkilnäraMarstrand,Kungälvskommun",165+20,5,1280,12500000
31-Jul-2020,Storskiftegatan 13,"Tega,Kungälvskommun",130,5,145,3800000
30-Jul-2020,Hålta Annex 110,"Hålta,Kungälvskommun",217+8,8,42350,7250000
28-Jul-2020,Lid 170,"Diseröd,Kungälvskommun",86+51,4,6235,2460000
27-Jul-2020,Knaverstad-Ryr 450,"Kode,Kungälvskommun",78,3,885,3500000
25-Jul-2020,Bergsgatan 10,"MarstrandKoön,Kungälvskommun",175+100,6,896,6900000
24-Jul-2020,Bråta 140,"Romelanda,Kungälvskommun",35+5,3,2165,1475000
23-Jul-2020,Grokareby 210,"Kareby,Kungälvskommun",70,4,4713,1250000
22-Jul-2020,Hallebäcksvägen 13,"Timmervik,Kungälvskommun",113+50,5,3636,4875000
21-Jul-2020,Gamla Kungälvsvägen 9B,"Kungälv-Centralt,Kungälvskommun",194,6,1061,7300000
21-Jul-2020,Diamantvägen 52,"Kode,Kungälvskommun",156,5,557,4750000
21-Jul-2020,Ametistvägen 4,"Kode,Kungälvskommun",98+95,5,866,4400000
14-Jul-2020,Bollestad 310,"Bollestad,Kungälvskommun",140,6,6876,4150000
10-Jul-2020,Holm 310,"Kungälv-Kärna,Kungälvskommun",66+36,3,2077,2970000
10-Jul-2020,Skårshöjd 9,"Kärna,Kungälvskommun",112,4,988,4500000
9-Jul-2020,Bärtas väg 8,"Kode,Kungälvskommun",57,3,1503,3100000
9-Jul-2020,Myrebackavägen 305,"Kareby,Kungälvskommun",166,6,1504,4630000
3-Jul-2020,Gråstensvägen 16,"Kode,Kungälvskommun",97,4,1381,3650000
2-Jul-2020,Knaverstad-Ryr 580,"Aröd,Kungälvskommun",158+4,6,1012,3650000
1-Jul-2020,Pölen 120,"Kungälv-Hålta,Kungälvskommun",138+75,5,812,4800000
17-Nov-2015,Skårby Station 452,"Kareby,Kungälvskommun",122,2,2963,3500000
9-Nov-2015,Bergliden 20,"Aröd,Kungälvskommun",65+36,3,1322,2210000
8-Nov-2015,Plogvägen 184,"KungälvUllstorp,Kungälvskommun",122,5,363,4410000
3-Nov-2015,Hällristningsgatan 8,"Ytterby,Kungälvskommun",103,NaN,262,3500000
2-Nov-2015,Jörlandavägen 3,"Kode,Kungälvskommun",115+48,5,1165,2325000
2-Nov-2015,Häljeröd 320,"Romelanda,Kungälvskommun",144+24,5,5814,3950000
30-Oct-2015,Rådmansgatan 13,"Centrum,Kungälvskommun",92+92,5,636,4900000
30-Oct-2015,Lundby 180,"Kareby,Kungälvskommun",200+63,7,1518,3400000
30-Oct-2015,Vedhallsvägen 8,"Kärna,Kungälvskommun",116+72,6,1864,2250000
23-Oct-2015,Guddeby 250,"Ytterby,Kungälvskommun",174,8,1733,4000000
